sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,total_1891,gaelic_1891,mono_1891,lat,lon,gender,yob,aggregate
Balmore,164,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Invernesshire,Balmore,104,87,1,57.357504,-4.7444995,m,1889,15
Lochletter,166,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North West Invernesshire,Lochletter,298,268,71,57.324782,-4.592537,m,1896,9
Achnaconeran,167,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,1,0,NA,0,1,0,0,NA,0,0,1,0,0,1,1,0,1,0,0,0,0,NA,0,0,0,0,North West Invernesshire,Achnaconeran,165,132,21,57.216066,-4.6345961,f,1875,17
Dalcreichart,168,1,1,1,1,1,NA,1,1,1,1,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,1,0,NA,1,0,1,0,1,0,0,0,0,0,NA,0,0,1,1,0,1,NA,0,NA,0,0,0,0,0,0,North West Invernesshire,Dalcreichart,178,154,30,57.216343,-4.6213644,m,1880,16
Trinloist 1,169,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Trinloist 1,82,75,7,57.246677,-4.4544279,f,1869,16
Trinloist 2,170,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Trinloist 2,82,75,7,57.246677,-4.4544279,m,1881,17
Loch Uanagan,171,1,1,0,1,1,1,0,1,1,1,1,NA,1,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,North West Invernesshire,Loch Uanagan,596,274,3,57.124574,-4.7107091,f,1868,17
Invergarry,172,1,1,1,1,1,1,NA,1,1,1,1,NA,1,0,0,1,1,1,1,1,0,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,North West Invernesshire,Invergarry,215,156,4,57.065795,-4.8087067,f,1869,22
Easterton,173,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North East Invernesshire,Easterton,293,150,8,57.534939,-4.0757224,m,1879,8
Castleton,174,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North East Invernesshire,Castleton,183,138,5,57.46087,-4.0733046999999996,f,1885,9
Milton of Tordarroch,175,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Milton of Tordarroch,236,181,4,57.367975,-4.2130589,f,1878,17
Càrn Bàn,176,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Càrn Bàn,236,181,4,57.294983,-4.2750635,f,1878,15
