sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,total_1891,gaelic_1891,mono_1891,lat,lon,gender,yob,aggregate
Bunavullin,86,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,0,1,0,1,0,1,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,1,1,0,1,NA,0,NA,0,0,0,0,0,0,Morvern,Bunavullin,644,321,95,56.613191,-5.9798301,f,1911,19
Glenborrodale (Acharacle),87,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,1,1,0,1,0,1,0,1,NA,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,1,Sunart and Ardnamurchan,Glenborrodale,772,722,253,56.679455,-5.9035115,m,1877,22
The Manse (Kilchoan),88,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,NA,1,1,0,1,0,NA,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Sunart and Ardnamurchan,The Manse (Kilchoan),772,722,253,56.690553,-6.1171029,f,1891,24
Acharacle,89,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,0,1,1,1,NA,0,1,1,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,1,1,0,1,NA,0,NA,0,0,0,0,0,0,Sunart and Ardnamurchan,Acharacle,645,537,244,56.755828,-5.8476036,m,1916,24
Eilean Shona,90,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,NA,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,Moydart,Eilean Shona,104,89,23,56.789043,-5.8493702,f,1880,24
Borrodale,91,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,NA,1,0,0,0,1,NA,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,Arisaig,Borrodale,1110,1023,407,56.90234,-5.7607957,m,1896,27
Bunacaimb,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,0,0,1,NA,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Arisaig,Bunacaimb,1110,1023,407,56.923488999999996,-5.8632221,m,1896,35
Morar Village,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,Morar,Morar Village,444,405,162,56.969315,-5.8350462,m,1896,33
Kildonan,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,Eigg,Kildonan,233,215,59,56.888219,-6.1224232,m,1882,47
Canna,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,NA,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,Canna,Canna,99,80,14,57.05432,-6.5204427,f,1902,44
Kinloch Hourn,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Knoydart,Kinloch Hourn,415,366,64,57.108123,-5.3867666,m,1913,32
Arnisdale,97,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,1,0,1,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,0,0,0,0,Knoydart,Arnisdale,415,366,64,57.129986,-5.5706077,m,1886,24
Galltair,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,Glenelg,Galltair,257,233,89,57.218217,-5.6288509,m,1887,42
Leacachan,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,0,1,1,1,1,0,1,0,0,NA,0,0,0,0,Glenshiel,Leacachan,219,162,29,57.239442,-5.5148722,m,1878,41
Ault a' Chruinn,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,NA,0,1,0,1,0,NA,1,0,0,0,0,1,NA,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Glenshiel,Ault a' Chruinn,219,162,29,57.224248,-5.4139857,m,1906,30
Inverinate,101,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Kintail,Inverinate,165,149,57,57.231855,-5.464419,m,1906,14
Dornie,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,Kintail,Dornie,118,101,13,57.284271,-5.5191496,m,1891,43
Duirinish,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,1,1,1,1,NA,0,0,0,NA,0,0,0,0,Lochalsh,Duirinish,250,250,76,57.31538,-5.6882793,f,1886,25
Lower Breakish,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,0,NA,1,0,1,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,0,0,0,0,Skye,Lower Breakish,424,400,163,57.238199,-5.86296,f,1899,27
Calligary,105,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,1,0,1,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Skye,Calligary,210,208,42,57.056391,-5.9265394,m,1894,28
Elgol,106,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,1,NA,0,NA,0,0,0,0,0,0,Skye,Elgol,221,213,90,57.140722,-6.100881,f,1899,27
Portnalong,107,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,1,0,1,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Skye,Portnalong,128,117,51,57.32057,-6.4216064,m,1880,28
Dunvegan,108,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,1,NA,1,0,1,NA,1,0,0,0,1,0,1,NA,0,0,1,0,0,1,1,1,1,0,0,1,0,NA,0,0,0,0,Skye,Dunvegan,406,371,58,57.408071,-6.4999737,m,1889,30
Glendale,109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Skye,Glendale,341,310,234,57.449571,-6.6982936,m,1899,31
Trumpan,110,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,NA,0,0,1,0,0,0,Skye,Trumpan,287,280,167,57.557851,-6.6335683,m,1894,36
Bernisdale,111,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Skye,Bernisdale,283,264,104,57.46551,-6.3375171,f,1894,27
Uig,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Skye,Uig,208,198,8,57.590902,-6.3524603,m,1909,33
Staffin,113,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,0,0,0,NA,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Skye,Staffin,303,287,117,57.639104,-6.257621,f,1889,23
Peinchorran,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,NA,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,1,1,0,1,NA,0,0,0,NA,0,0,0,0,Skye,Peinchorran,326,314,177,57.324645,-6.1211812,m,1889,27
Caol Rona,115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,NA,0,0,1,1,0,1,NA,0,0,0,1,0,0,0,0,Raasay,Caol Rona,438,394,102,57.494449,-6.0069222,f,1906,29
Lochcarron,116,1,1,1,1,1,1,0,1,1,1,1,NA,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,NA,0,0,0,0,0,0,Wester Ross,Lochcarron,384,332,48,57.402203,-5.504865,m,1896,19
Milton (Applecross),117,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Milton (Applecross),253,227,60,57.421656,-5.8072284,m,1883,25
Shieldaig,118,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Shieldaig,201,181,29,57.515028,-5.6242134,f,1883,17
Inveralligin,119,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Inveralligin,335,291,115,57.551345,-5.6117864,m,1913,21
Kinlochewe,120,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Kinlochewe,116,104,15,57.604421,-5.315622,m,1881,19
Badachro,121,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Gairloch,Badachro,342,307,72,57.691855,-5.7265046,m,1893,32
Melvaig,122,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Gairloch,Melvaig,320,311,218,57.806374,-5.8056924,f,1881,21
Cove,123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Wester Ross,Cove,188,183,57,57.845215,-5.7086311,f,1891,27
Aultbea,124,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,NA,0,1,NA,1,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,1,1,NA,NA,1,0,0,0,NA,0,NA,0,0,Wester Ross,Aultbea,145,131,22,57.839639,-5.5900588,f,1888,21
Badbea,125,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Wester Ross,Badbea,322,308,89,57.862084,-5.3275006,m,1878,24
Letters,126,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,NA,NA,NA,0,0,0,0,0,NA,0,0,Wester Ross,Letters,315,299,74,57.834574,-5.1008402,m,1879,21
Polbain,127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,NA,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,NA,NA,0,0,0,0,NA,0,NA,0,0,Wester Ross,Polbain,449,402,205,58.038392,-5.4029494,m,1891,25
Inverkirkaig,129,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Assynt,Inverkirkaig,152,145,33,58.122104,-5.2586048,m,1907,24
Nedd,130,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Assynt,Nedd,870,799,86,58.227922,-5.1862218,f,1879,18
Tarbet,131,1,1,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,1,NA,1,0,NA,NA,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,North West Sutherland,Tarbet,511,383,22,58.391924,-5.1302756,f,1876,15
Polin,132,1,1,1,NA,1,NA,1,1,NA,1,NA,1,NA,1,0,0,NA,0,0,NA,0,0,1,NA,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,North West Sutherland,Polin,898,833,59,58.483545,-5.0934332,m,1911,13
Durness,133,1,1,1,1,1,NA,1,1,1,1,NA,1,1,0,0,1,NA,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,0,0,0,0,0,0,NA,NA,0,North Sutherland,Durness,960,814,40,58.556594,-4.7443003,m,1882,16
Melness,134,1,1,1,1,1,NA,1,1,1,1,NA,1,0,1,1,1,NA,1,0,0,1,0,1,NA,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,NA,NA,0,0,0,0,0,0,NA,1,0,North Sutherland,Melness,1863,1578,114,58.514337,-4.4442118,m,1885,23
Skerray,135,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,NA,NA,0,0,0,0,0,1,NA,0,0,North Sutherland,Skerray,1081,920,82,58.534409,-4.3033018,m,1882,24
